Path,nodes,edges,colours,coloursPerNode,NewSpec2,OldSpec2,,SpecName,OldTimeOut,BothTimeOut,NewSpec,OldSpec
tests/n20e240c10cpn2.param,20,240,10,2,1.93,8.86,n20e240c10cpn2.param,n20e240c10cpn2,,,1.93,8.86
tests/n20e240c15cpn3.param,20,240,15,3,2.19,TO,n20e240c15cpn3.param,n20e240c15cpn3,300,,2.19,
tests/n20e240c20cpn4.param,20,240,20,4,2.34,TO,n20e240c20cpn4.param,n20e240c20cpn4,300,,2.34,
tests/n20e260c8cpn2.param,20,260,8,2,2.43,5.69,n20e260c8cpn2.param,n20e260c8cpn2,,,2.43,5.69
tests/n20e260c12cpn3.param,20,260,12,3,2.18,10.89,n20e260c12cpn3.param,n20e260c12cpn3,,,2.18,10.89
tests/n20e260c16cpn4.param,20,260,16,4,2.34,TO,n20e260c16cpn4.param,n20e260c16cpn4,300,,2.34,
tests/n20e260c10cpn2.param,20,260,10,2,1.98,10.35,n20e260c10cpn2.param,n20e260c10cpn2,,,1.98,10.35
tests/n20e260c15cpn3.param,20,260,15,3,2.18,TO,n20e260c15cpn3.param,n20e260c15cpn3,300,,2.18,
tests/n20e260c20cpn4.param,20,260,20,4,2.34,TO,n20e260c20cpn4.param,n20e260c20cpn4,300,,2.34,
tests/n20e280c8cpn2.param,20,280,8,2,2.36,6.01,n20e280c8cpn2.param,n20e280c8cpn2,,,2.36,6.01
tests/n20e280c12cpn3.param,20,280,12,3,2.09,10.51,n20e280c12cpn3.param,n20e280c12cpn3,,,2.09,10.51
tests/n20e280c16cpn4.param,20,280,16,4,2.23,TO,n20e280c16cpn4.param,n20e280c16cpn4,300,,2.23,
tests/n20e280c10cpn2.param,20,280,10,2,1.88,7.87,n20e280c10cpn2.param,n20e280c10cpn2,,,1.88,7.87
tests/n20e280c15cpn3.param,20,280,15,3,2.79,TO,n20e280c15cpn3.param,n20e280c15cpn3,300,,2.79,
tests/n20e280c20cpn4.param,20,280,20,4,2.49,TO,n20e280c20cpn4.param,n20e280c20cpn4,300,,2.49,
tests/n20e300c8cpn2.param,20,300,8,2,2.76,7.26,n20e300c8cpn2.param,n20e300c8cpn2,,,2.76,7.26
tests/n20e300c12cpn3.param,20,300,12,3,2.28,10.13,n20e300c12cpn3.param,n20e300c12cpn3,,,2.28,10.13
tests/n20e300c16cpn4.param,20,300,16,4,2.28,TO,n20e300c16cpn4.param,n20e300c16cpn4,300,,2.28,
tests/n20e300c10cpn2.param,20,300,10,2,1.88,7.91,n20e300c10cpn2.param,n20e300c10cpn2,,,1.88,7.91
tests/n20e300c15cpn3.param,20,300,15,3,3.27,TO,n20e300c15cpn3.param,n20e300c15cpn3,300,,3.27,
tests/n20e300c20cpn4.param,20,300,20,4,2.44,TO,n20e300c20cpn4.param,n20e300c20cpn4,300,,2.44,
tests/n30e180c8cpn2.param,30,180,8,2,2.1,9.93,n30e180c8cpn2.param,n30e180c8cpn2,,,2.1,9.93
tests/n30e180c12cpn3.param,30,180,12,3,2.29,TO,n30e180c12cpn3.param,n30e180c12cpn3,300,,2.29,
tests/n30e180c16cpn4.param,30,180,16,4,TO,TO,n30e180c16cpn4.param,n30e180c16cpn4,,300,,
tests/n30e180c10cpn2.param,30,180,10,2,2.09,TO,n30e180c10cpn2.param,n30e180c10cpn2,300,,2.09,
tests/n30e180c15cpn3.param,30,180,15,3,TO,TO,n30e180c15cpn3.param,n30e180c15cpn3,,300,,
tests/n30e180c20cpn4.param,30,180,20,4,TO,TO,n30e180c20cpn4.param,n30e180c20cpn4,,300,,
tests/n30e225c8cpn2.param,30,225,8,2,2.19,11.57,n30e225c8cpn2.param,n30e225c8cpn2,,,2.19,11.57
tests/n30e225c12cpn3.param,30,225,12,3,2.38,TO,n30e225c12cpn3.param,n30e225c12cpn3,300,,2.38,
tests/n30e225c16cpn4.param,30,225,16,4,2.94,TO,n30e225c16cpn4.param,n30e225c16cpn4,300,,2.94,
tests/n30e225c10cpn2.param,30,225,10,2,2.19,TO,n30e225c10cpn2.param,n30e225c10cpn2,300,,2.19,
tests/n30e225c15cpn3.param,30,225,15,3,TO,TO,n30e225c15cpn3.param,n30e225c15cpn3,,300,,
tests/n30e225c20cpn4.param,30,225,20,4,TO,TO,n30e225c20cpn4.param,n30e225c20cpn4,,300,,
tests/n30e270c8cpn2.param,30,270,8,2,2.39,10.89,n30e270c8cpn2.param,n30e270c8cpn2,,,2.39,10.89
tests/n30e270c12cpn3.param,30,270,12,3,3,17.85,n30e270c12cpn3.param,n30e270c12cpn3,,,3,17.85
tests/n30e270c16cpn4.param,30,270,16,4,2.74,TO,n30e270c16cpn4.param,n30e270c16cpn4,300,,2.74,
tests/n30e270c10cpn2.param,30,270,10,2,2.29,144.64,n30e270c10cpn2.param,n30e270c10cpn2,,,2.29,144.64
tests/n30e270c15cpn3.param,30,270,15,3,2.49,TO,n30e270c15cpn3.param,n30e270c15cpn3,300,,2.49,
tests/n30e270c20cpn4.param,30,270,20,4,TO,TO,n30e270c20cpn4.param,n30e270c20cpn4,,300,,
tests/n30e315c8cpn2.param,30,315,8,2,2.6,13.25,n30e315c8cpn2.param,n30e315c8cpn2,,,2.6,13.25
tests/n30e315c12cpn3.param,30,315,12,3,2.54,89.81,n30e315c12cpn3.param,n30e315c12cpn3,,,2.54,89.81
tests/n30e315c16cpn4.param,30,315,16,4,3.36,291.29,n30e315c16cpn4.param,n30e315c16cpn4,,,3.36,291.29
tests/n30e315c10cpn2.param,30,315,10,2,2.24,28.74,n30e315c10cpn2.param,n30e315c10cpn2,,,2.24,28.74
tests/n30e315c15cpn3.param,30,315,15,3,2.44,TO,n30e315c15cpn3.param,n30e315c15cpn3,300,,2.44,
tests/n30e315c20cpn4.param,30,315,20,4,4.25,TO,n30e315c20cpn4.param,n30e315c20cpn4,300,,4.25,
tests/n30e360c8cpn2.param,30,360,8,2,3.66,14.39,n30e360c8cpn2.param,n30e360c8cpn2,,,3.66,14.39
tests/n30e360c12cpn3.param,30,360,12,3,2.95,19.75,n30e360c12cpn3.param,n30e360c12cpn3,,,2.95,19.75
tests/n30e360c16cpn4.param,30,360,16,4,3.52,TO,n30e360c16cpn4.param,n30e360c16cpn4,300,,3.52,
tests/n30e360c10cpn2.param,30,360,10,2,2.34,21.08,n30e360c10cpn2.param,n30e360c10cpn2,,,2.34,21.08
tests/n30e360c15cpn3.param,30,360,15,3,2.64,TO,n30e360c15cpn3.param,n30e360c15cpn3,300,,2.64,
tests/n30e360c20cpn4.param,30,360,20,4,3.31,TO,n30e360c20cpn4.param,n30e360c20cpn4,300,,3.31,
tests/n30e405c8cpn2.param,30,405,8,2,3.54,15.67,n30e405c8cpn2.param,n30e405c8cpn2,,,3.54,15.67
tests/n30e405c12cpn3.param,30,405,12,3,2.68,24.18,n30e405c12cpn3.param,n30e405c12cpn3,,,2.68,24.18
tests/n30e405c16cpn4.param,30,405,16,4,3.7,TO,n30e405c16cpn4.param,n30e405c16cpn4,300,,3.7,
tests/n30e405c10cpn2.param,30,405,10,2,2.28,20.82,n30e405c10cpn2.param,n30e405c10cpn2,,,2.28,20.82
tests/n30e405c15cpn3.param,30,405,15,3,3.85,TO,n30e405c15cpn3.param,n30e405c15cpn3,300,,3.85,
tests/n30e405c20cpn4.param,30,405,20,4,4.28,TO,n30e405c20cpn4.param,n30e405c20cpn4,300,,4.28,
tests/n30e450c8cpn2.param,30,450,8,2,2.64,15.28,n30e450c8cpn2.param,n30e450c8cpn2,,,2.64,15.28
tests/n30e450c12cpn3.param,30,450,12,3,2.64,26.13,n30e450c12cpn3.param,n30e450c12cpn3,,,2.64,26.13
tests/n30e450c16cpn4.param,30,450,16,4,4.01,TO,n30e450c16cpn4.param,n30e450c16cpn4,300,,4.01,
tests/n30e450c10cpn2.param,30,450,10,2,2.24,18.84,n30e450c10cpn2.param,n30e450c10cpn2,,,2.24,18.84
tests/n30e450c15cpn3.param,30,450,15,3,4.04,TO,n30e450c15cpn3.param,n30e450c15cpn3,300,,4.04,
tests/n30e450c20cpn4.param,30,450,20,4,3.4,TO,n30e450c20cpn4.param,n30e450c20cpn4,300,,3.4,
tests/n30e495c8cpn2.param,30,495,8,2,2.45,16.29,n30e495c8cpn2.param,n30e495c8cpn2,,,2.45,16.29
tests/n30e495c12cpn3.param,30,495,12,3,2.68,25.02,n30e495c12cpn3.param,n30e495c12cpn3,,,2.68,25.02
tests/n30e495c16cpn4.param,30,495,16,4,3.09,TO,n30e495c16cpn4.param,n30e495c16cpn4,300,,3.09,
tests/n30e495c10cpn2.param,30,495,10,2,3.83,19.27,n30e495c10cpn2.param,n30e495c10cpn2,,,3.83,19.27
tests/n30e495c15cpn3.param,30,495,15,3,2.64,TO,n30e495c15cpn3.param,n30e495c15cpn3,300,,2.64,
tests/n30e495c20cpn4.param,30,495,20,4,3.76,TO,n30e495c20cpn4.param,n30e495c20cpn4,300,,3.76,
tests/n30e540c8cpn2.param,30,540,8,2,3.8,15.25,n30e540c8cpn2.param,n30e540c8cpn2,,,3.8,15.25
tests/n30e540c12cpn3.param,30,540,12,3,2.49,24.04,n30e540c12cpn3.param,n30e540c12cpn3,,,2.49,24.04
tests/n30e540c16cpn4.param,30,540,16,4,3.75,TO,n30e540c16cpn4.param,n30e540c16cpn4,300,,3.75,
tests/n30e540c10cpn2.param,30,540,10,2,2.54,19.19,n30e540c10cpn2.param,n30e540c10cpn2,,,2.54,19.19
tests/n30e540c15cpn3.param,30,540,15,3,2.84,TO,n30e540c15cpn3.param,n30e540c15cpn3,300,,2.84,
tests/n30e540c20cpn4.param,30,540,20,4,3.39,TO,n30e540c20cpn4.param,n30e540c20cpn4,300,,3.39,
tests/n30e585c8cpn2.param,30,585,8,2,3.46,14.89,n30e585c8cpn2.param,n30e585c8cpn2,,,3.46,14.89
tests/n30e585c12cpn3.param,30,585,12,3,2.78,24.9,n30e585c12cpn3.param,n30e585c12cpn3,,,2.78,24.9
tests/n30e585c16cpn4.param,30,585,16,4,3.03,TO,n30e585c16cpn4.param,n30e585c16cpn4,300,,3.03,
tests/n30e585c10cpn2.param,30,585,10,2,2.13,19.81,n30e585c10cpn2.param,n30e585c10cpn2,,,2.13,19.81
tests/n30e585c15cpn3.param,30,585,15,3,3.7,TO,n30e585c15cpn3.param,n30e585c15cpn3,300,,3.7,
tests/n30e585c20cpn4.param,30,585,20,4,3.84,TO,n30e585c20cpn4.param,n30e585c20cpn4,300,,3.84,
tests/n30e630c8cpn2.param,30,630,8,2,2.44,15.37,n30e630c8cpn2.param,n30e630c8cpn2,,,2.44,15.37
tests/n30e630c12cpn3.param,30,630,12,3,2.59,24.97,n30e630c12cpn3.param,n30e630c12cpn3,,,2.59,24.97
tests/n30e630c16cpn4.param,30,630,16,4,3.08,TO,n30e630c16cpn4.param,n30e630c16cpn4,300,,3.08,
tests/n30e630c10cpn2.param,30,630,10,2,3.2,18.8,n30e630c10cpn2.param,n30e630c10cpn2,,,3.2,18.8
tests/n30e630c15cpn3.param,30,630,15,3,2.63,TO,n30e630c15cpn3.param,n30e630c15cpn3,300,,2.63,
tests/n30e630c20cpn4.param,30,630,20,4,4.67,TO,n30e630c20cpn4.param,n30e630c20cpn4,300,,4.67,
tests/n30e675c8cpn2.param,30,675,8,2,2.44,16.15,n30e675c8cpn2.param,n30e675c8cpn2,,,2.44,16.15
tests/n30e675c12cpn3.param,30,675,12,3,3.98,24.51,n30e675c12cpn3.param,n30e675c12cpn3,,,3.98,24.51
tests/n30e675c16cpn4.param,30,675,16,4,4.26,TO,n30e675c16cpn4.param,n30e675c16cpn4,300,,4.26,
tests/n30e675c10cpn2.param,30,675,10,2,2.23,19.01,n30e675c10cpn2.param,n30e675c10cpn2,,,2.23,19.01
tests/n30e675c15cpn3.param,30,675,15,3,4.17,TO,n30e675c15cpn3.param,n30e675c15cpn3,300,,4.17,
tests/n30e675c20cpn4.param,30,675,20,4,3.25,TO,n30e675c20cpn4.param,n30e675c20cpn4,300,,3.25,
tests/n40e320c8cpn2.param,40,320,8,2,2.93,18.93,n40e320c8cpn2.param,n40e320c8cpn2,,,2.93,18.93
tests/n40e320c12cpn3.param,40,320,12,3,74.89,TO,n40e320c12cpn3.param,n40e320c12cpn3,300,,74.89,
tests/n40e320c16cpn4.param,40,320,16,4,4.83,TO,n40e320c16cpn4.param,n40e320c16cpn4,300,,4.83,
tests/n40e320c10cpn2.param,40,320,10,2,3.16,TO,n40e320c10cpn2.param,n40e320c10cpn2,300,,3.16,
tests/n40e320c15cpn3.param,40,320,15,3,TO,TO,n40e320c15cpn3.param,n40e320c15cpn3,,300,,
tests/n40e320c20cpn4.param,40,320,20,4,TO,TO,n40e320c20cpn4.param,n40e320c20cpn4,,300,,
tests/n40e400c8cpn2.param,40,400,8,2,2.61,22.19,n40e400c8cpn2.param,n40e400c8cpn2,,,2.61,22.19
tests/n40e400c12cpn3.param,40,400,12,3,2.78,TO,n40e400c12cpn3.param,n40e400c12cpn3,300,,2.78,
tests/n40e400c16cpn4.param,40,400,16,4,4.41,TO,n40e400c16cpn4.param,n40e400c16cpn4,300,,4.41,
tests/n40e400c10cpn2.param,40,400,10,2,3.07,TO,n40e400c10cpn2.param,n40e400c10cpn2,300,,3.07,
tests/n40e400c15cpn3.param,40,400,15,3,10.83,TO,n40e400c15cpn3.param,n40e400c15cpn3,300,,10.83,
tests/n40e400c20cpn4.param,40,400,20,4,TO,TO,n40e400c20cpn4.param,n40e400c20cpn4,,300,,
tests/n40e480c8cpn2.param,40,480,8,2,2.64,24.35,n40e480c8cpn2.param,n40e480c8cpn2,,,2.64,24.35
tests/n40e480c12cpn3.param,40,480,12,3,2.89,55.65,n40e480c12cpn3.param,n40e480c12cpn3,,,2.89,55.65
tests/n40e480c16cpn4.param,40,480,16,4,3.44,TO,n40e480c16cpn4.param,n40e480c16cpn4,300,,3.44,
tests/n40e480c10cpn2.param,40,480,10,2,2.74,37.6,n40e480c10cpn2.param,n40e480c10cpn2,,,2.74,37.6
tests/n40e480c15cpn3.param,40,480,15,3,2.99,TO,n40e480c15cpn3.param,n40e480c15cpn3,300,,2.99,
tests/n40e480c20cpn4.param,40,480,20,4,12.02,TO,n40e480c20cpn4.param,n40e480c20cpn4,300,,12.02,
tests/n40e560c8cpn2.param,40,560,8,2,2.79,28.83,n40e560c8cpn2.param,n40e560c8cpn2,,,2.79,28.83
tests/n40e560c12cpn3.param,40,560,12,3,3.1,41.6,n40e560c12cpn3.param,n40e560c12cpn3,,,3.1,41.6
tests/n40e560c16cpn4.param,40,560,16,4,4.42,TO,n40e560c16cpn4.param,n40e560c16cpn4,300,,4.42,
tests/n40e560c10cpn2.param,40,560,10,2,3,33.66,n40e560c10cpn2.param,n40e560c10cpn2,,,3,33.66
tests/n40e560c15cpn3.param,40,560,15,3,3.09,TO,n40e560c15cpn3.param,n40e560c15cpn3,300,,3.09,
tests/n40e560c20cpn4.param,40,560,20,4,4.4,TO,n40e560c20cpn4.param,n40e560c20cpn4,300,,4.4,
tests/n40e640c8cpn2.param,40,640,8,2,2.84,30.33,n40e640c8cpn2.param,n40e640c8cpn2,,,2.84,30.33
tests/n40e640c12cpn3.param,40,640,12,3,3.34,TO,n40e640c12cpn3.param,n40e640c12cpn3,300,,3.34,
tests/n40e640c16cpn4.param,40,640,16,4,3.84,TO,n40e640c16cpn4.param,n40e640c16cpn4,300,,3.84,
tests/n40e640c10cpn2.param,40,640,10,2,2.8,37.67,n40e640c10cpn2.param,n40e640c10cpn2,,,2.8,37.67
tests/n40e640c15cpn3.param,40,640,15,3,4.41,TO,n40e640c15cpn3.param,n40e640c15cpn3,300,,4.41,
tests/n40e640c20cpn4.param,40,640,20,4,4.31,TO,n40e640c20cpn4.param,n40e640c20cpn4,300,,4.31,
tests/n40e720c8cpn2.param,40,720,8,2,3.04,33.61,n40e720c8cpn2.param,n40e720c8cpn2,,,3.04,33.61
tests/n40e720c12cpn3.param,40,720,12,3,5.1,48.16,n40e720c12cpn3.param,n40e720c12cpn3,,,5.1,48.16
tests/n40e720c16cpn4.param,40,720,16,4,3.99,TO,n40e720c16cpn4.param,n40e720c16cpn4,300,,3.99,
tests/n40e720c10cpn2.param,40,720,10,2,2.64,62.05,n40e720c10cpn2.param,n40e720c10cpn2,,,2.64,62.05
tests/n40e720c15cpn3.param,40,720,15,3,5.39,TO,n40e720c15cpn3.param,n40e720c15cpn3,300,,5.39,
tests/n40e720c20cpn4.param,40,720,20,4,5.83,TO,n40e720c20cpn4.param,n40e720c20cpn4,300,,5.83,
tests/n40e800c8cpn2.param,40,800,8,2,4.99,36.67,n40e800c8cpn2.param,n40e800c8cpn2,,,4.99,36.67
tests/n40e800c12cpn3.param,40,800,12,3,3.24,55.37,n40e800c12cpn3.param,n40e800c12cpn3,,,3.24,55.37
tests/n40e800c16cpn4.param,40,800,16,4,4.29,TO,n40e800c16cpn4.param,n40e800c16cpn4,300,,4.29,
