SpecName,nodes,edges,colours,coloursPerNode,NewSpec,OldSpec
tests/n10e70c8cpn2.param,10,70,8,2,0.72,1.53
tests/n10e70c10cpn3.param,10,70,10,3,0.73,1.96
tests/n10e70c10cpn4.param,10,70,10,4,0.77,2.05
tests/n10e70c10cpn2.param,10,70,10,2,0.67,2.09
tests/n10e70c10cpn3.param,10,70,10,3,0.72,2.07
tests/n10e70c10cpn4.param,10,70,10,4,0.75,1.98
tests/n10e75c8cpn2.param,10,75,8,2,0.66,1.59
tests/n10e75c10cpn3.param,10,75,10,3,0.71,1.99
tests/n10e75c10cpn4.param,10,75,10,4,0.71,2.04
tests/n10e75c10cpn2.param,10,75,10,2,0.68,2.07
tests/n10e75c10cpn3.param,10,75,10,3,0.71,2.05
tests/n10e75c10cpn4.param,10,75,10,4,0.74,1.98
tests/n20e80c8cpn2.param,20,80,8,2,0.66,7.62
tests/n20e80c12cpn3.param,20,80,12,3,TO,TO
tests/n20e80c16cpn4.param,20,80,16,4,TO,TO
tests/n20e80c10cpn2.param,20,80,10,2,0.84,9.39
tests/n20e80c15cpn3.param,20,80,15,3,TO,TO
tests/n20e80c20cpn4.param,20,80,20,4,0.92,40.2
tests/n20e100c8cpn2.param,20,100,8,2,0.76,7.86
tests/n20e100c12cpn3.param,20,100,12,3,0.73,16.56
tests/n20e100c16cpn4.param,20,100,16,4,TO,TO
tests/n20e100c10cpn2.param,20,100,10,2,1.26,12.42
tests/n20e100c15cpn3.param,20,100,15,3,TO,TO
tests/n20e100c20cpn4.param,20,100,20,4,TO,TO
tests/n20e120c8cpn2.param,20,120,8,2,0.85,9.29
tests/n20e120c12cpn3.param,20,120,12,3,0.74,31.1
tests/n20e120c16cpn4.param,20,120,16,4,TO,TO
tests/n20e120c10cpn2.param,20,120,10,2,0.81,36.77
tests/n20e120c15cpn3.param,20,120,15,3,0.79,TO
tests/n20e120c20cpn4.param,20,120,20,4,TO,TO
tests/n20e140c8cpn2.param,20,140,8,2,1.55,11.48
tests/n20e140c12cpn3.param,20,140,12,3,0.8,24.25
tests/n20e140c16cpn4.param,20,140,16,4,0.83,TO
tests/n20e140c10cpn2.param,20,140,10,2,0.79,16.65
tests/n20e140c15cpn3.param,20,140,15,3,0.79,TO
tests/n20e140c20cpn4.param,20,140,20,4,TO,TO
tests/n20e160c8cpn2.param,20,160,8,2,0.95,13.34
tests/n20e160c12cpn3.param,20,160,12,3,0.74,26.51
tests/n20e160c16cpn4.param,20,160,16,4,0.83,TO
tests/n20e160c10cpn2.param,20,160,10,2,0.79,30.53
tests/n20e160c15cpn3.param,20,160,15,3,0.77,TO
tests/n20e160c20cpn4.param,20,160,20,4,0.91,TO
tests/n20e180c8cpn2.param,20,180,8,2,0.8,14.07
tests/n20e180c12cpn3.param,20,180,12,3,0.8,29.64
tests/n20e180c16cpn4.param,20,180,16,4,0.86,TO
tests/n20e180c10cpn2.param,20,180,10,2,0.84,22.09
tests/n20e180c15cpn3.param,20,180,15,3,0.79,TO
tests/n20e180c20cpn4.param,20,180,20,4,0.91,TO
tests/n20e200c8cpn2.param,20,200,8,2,0.83,15.18
tests/n20e200c12cpn3.param,20,200,12,3,0.79,32.59
tests/n20e200c16cpn4.param,20,200,16,4,0.83,TO
tests/n20e200c10cpn2.param,20,200,10,2,0.83,23.56
tests/n20e200c15cpn3.param,20,200,15,3,0.84,TO
tests/n20e200c20cpn4.param,20,200,20,4,0.94,TO
tests/n20e220c8cpn2.param,20,220,8,2,0.83,14.91
tests/n20e220c12cpn3.param,20,220,12,3,0.78,33.45
tests/n20e220c16cpn4.param,20,220,16,4,0.87,TO
tests/n20e220c10cpn2.param,20,220,10,2,2.14,23.57
tests/n20e220c15cpn3.param,20,220,15,3,0.78,TO
tests/n20e220c20cpn4.param,20,220,20,4,0.96,TO
tests/n20e240c8cpn2.param,20,240,8,2,0.84,15.0
tests/n20e240c12cpn3.param,20,240,12,3,0.8,32.36
tests/n20e240c16cpn4.param,20,240,16,4,0.78,TO
tests/n20e240c10cpn2.param,20,240,10,2,0.83,26.26
tests/n20e240c15cpn3.param,20,240,15,3,0.79,TO
tests/n20e240c20cpn4.param,20,240,20,4,0.96,TO
tests/n20e260c8cpn2.param,20,260,8,2,0.84,13.93
tests/n20e260c12cpn3.param,20,260,12,3,0.77,32.63
tests/n20e260c16cpn4.param,20,260,16,4,0.83,TO
tests/n20e260c10cpn2.param,20,260,10,2,0.83,23.76
tests/n20e260c15cpn3.param,20,260,15,3,0.78,TO
tests/n20e260c20cpn4.param,20,260,20,4,0.87,TO
tests/n20e280c8cpn2.param,20,280,8,2,0.79,14.91
tests/n20e280c12cpn3.param,20,280,12,3,0.78,32.83
tests/n20e280c16cpn4.param,20,280,16,4,0.8,TO
tests/n20e280c10cpn2.param,20,280,10,2,0.78,22.84
tests/n20e280c15cpn3.param,20,280,15,3,0.77,TO
tests/n20e280c20cpn4.param,20,280,20,4,0.88,TO
tests/n20e300c8cpn2.param,20,300,8,2,0.83,14.5
tests/n20e300c12cpn3.param,20,300,12,3,0.79,32.28
tests/n20e300c16cpn4.param,20,300,16,4,0.8,TO
tests/n20e300c10cpn2.param,20,300,10,2,0.85,24.11
tests/n20e300c15cpn3.param,20,300,15,3,0.82,TO
tests/n20e300c20cpn4.param,20,300,20,4,0.94,TO
tests/n30e180c8cpn2.param,30,180,8,2,0.78,39.47
tests/n30e180c12cpn3.param,30,180,12,3,TO,TO
tests/n30e180c16cpn4.param,30,180,16,4,TO,TO
tests/n30e180c10cpn2.param,30,180,10,2,1.18,TO
tests/n30e180c15cpn3.param,30,180,15,3,TO,TO
tests/n30e180c20cpn4.param,30,180,20,4,TO,TO
tests/n30e225c8cpn2.param,30,225,8,2,0.83,38.13
tests/n30e225c12cpn3.param,30,225,12,3,0.9,TO
tests/n30e225c16cpn4.param,30,225,16,4,TO,TO
tests/n30e225c10cpn2.param,30,225,10,2,0.85,TO
tests/n30e225c15cpn3.param,30,225,15,3,0.96,TO
tests/n30e225c20cpn4.param,30,225,20,4,TO,TO
tests/n30e270c8cpn2.param,30,270,8,2,0.85,55.22
tests/n30e270c12cpn3.param,30,270,12,3,0.84,TO
tests/n30e270c16cpn4.param,30,270,16,4,0.96,TO
tests/n30e270c10cpn2.param,30,270,10,2,0.88,TO
tests/n30e270c15cpn3.param,30,270,15,3,0.96,TO
tests/n30e270c20cpn4.param,30,270,20,4,TO,TO
tests/n30e315c8cpn2.param,30,315,8,2,0.84,TO
tests/n30e315c12cpn3.param,30,315,12,3,0.97,TO
tests/n30e315c16cpn4.param,30,315,16,4,1.0,TO
tests/n30e315c10cpn2.param,30,315,10,2,0.85,TO
tests/n30e315c15cpn3.param,30,315,15,3,0.95,TO
tests/n30e315c20cpn4.param,30,315,20,4,2.52,TO
tests/n30e360c8cpn2.param,30,360,8,2,0.89,TO
tests/n30e360c12cpn3.param,30,360,12,3,0.99,TO
tests/n30e360c16cpn4.param,30,360,16,4,1.88,TO
tests/n30e360c10cpn2.param,30,360,10,2,0.89,TO
tests/n30e360c15cpn3.param,30,360,15,3,0.95,TO
tests/n30e360c20cpn4.param,30,360,20,4,1.12,TO
tests/n30e405c8cpn2.param,30,405,8,2,0.88,TO
tests/n30e405c12cpn3.param,30,405,12,3,0.99,TO
tests/n30e405c16cpn4.param,30,405,16,4,1.08,TO
tests/n30e405c10cpn2.param,30,405,10,2,0.89,TO
tests/n30e405c15cpn3.param,30,405,15,3,0.97,TO
tests/n30e405c20cpn4.param,30,405,20,4,1.13,TO
tests/n30e450c8cpn2.param,30,450,8,2,0.9,TO
tests/n30e450c12cpn3.param,30,450,12,3,0.96,TO
tests/n30e450c16cpn4.param,30,450,16,4,1.06,TO
tests/n30e450c10cpn2.param,30,450,10,2,0.9,TO
tests/n30e450c15cpn3.param,30,450,15,3,1.01,TO
tests/n30e450c20cpn4.param,30,450,20,4,1.06,TO
tests/n30e495c8cpn2.param,30,495,8,2,0.9,TO
tests/n30e495c12cpn3.param,30,495,12,3,0.97,TO
tests/n30e495c16cpn4.param,30,495,16,4,1.14,TO
tests/n30e495c10cpn2.param,30,495,10,2,0.9,TO
tests/n30e495c15cpn3.param,30,495,15,3,1.49,TO
tests/n30e495c20cpn4.param,30,495,20,4,1.08,TO
tests/n30e540c8cpn2.param,30,540,8,2,0.92,TO
tests/n30e540c12cpn3.param,30,540,12,3,0.99,TO
tests/n30e540c16cpn4.param,30,540,16,4,1.05,TO
tests/n30e540c10cpn2.param,30,540,10,2,0.95,TO
tests/n30e540c15cpn3.param,30,540,15,3,0.97,TO
tests/n30e540c20cpn4.param,30,540,20,4,1.08,TO
tests/n30e585c8cpn2.param,30,585,8,2,0.9,TO
tests/n30e585c12cpn3.param,30,585,12,3,0.96,TO
tests/n30e585c16cpn4.param,30,585,16,4,1.08,TO
tests/n30e585c10cpn2.param,30,585,10,2,0.97,TO
tests/n30e585c15cpn3.param,30,585,15,3,0.97,TO
tests/n30e585c20cpn4.param,30,585,20,4,1.06,TO
tests/n30e630c8cpn2.param,30,630,8,2,0.88,TO
tests/n30e630c12cpn3.param,30,630,12,3,1.0,TO
tests/n30e630c16cpn4.param,30,630,16,4,1.14,TO
tests/n30e630c10cpn2.param,30,630,10,2,0.88,TO
tests/n30e630c15cpn3.param,30,630,15,3,1.02,TO
tests/n30e630c20cpn4.param,30,630,20,4,1.07,TO
tests/n30e675c8cpn2.param,30,675,8,2,1.31,TO
tests/n30e675c12cpn3.param,30,675,12,3,1.01,TO
tests/n30e675c16cpn4.param,30,675,16,4,1.07,TO
tests/n30e675c10cpn2.param,30,675,10,2,0.96,TO
tests/n30e675c15cpn3.param,30,675,15,3,1.01,TO
tests/n30e675c20cpn4.param,30,675,20,4,1.07,TO
tests/n40e320c8cpn2.param,40,320,8,2,2.74,TO
tests/n40e320c12cpn3.param,40,320,12,3,1.09,TO
tests/n40e320c16cpn4.param,40,320,16,4,TO,TO
tests/n40e320c10cpn2.param,40,320,10,2,0.99,TO
tests/n40e320c15cpn3.param,40,320,15,3,TO,TO
tests/n40e320c20cpn4.param,40,320,20,4,TO,TO
tests/n40e400c8cpn2.param,40,400,8,2,1.71,TO
tests/n40e400c12cpn3.param,40,400,12,3,2.84,TO
tests/n40e400c16cpn4.param,40,400,16,4,TO,TO
tests/n40e400c10cpn2.param,40,400,10,2,0.99,TO
tests/n40e400c15cpn3.param,40,400,15,3,1.26,TO
tests/n40e400c20cpn4.param,40,400,20,4,TO,TO
tests/n40e480c8cpn2.param,40,480,8,2,0.89,TO
tests/n40e480c12cpn3.param,40,480,12,3,1.1,TO
tests/n40e480c16cpn4.param,40,480,16,4,1.27,TO
tests/n40e480c10cpn2.param,40,480,10,2,0.95,TO
tests/n40e480c15cpn3.param,40,480,15,3,1.1,TO
tests/n40e480c20cpn4.param,40,480,20,4,3.71,TO
tests/n40e560c8cpn2.param,40,560,8,2,1.0,TO
tests/n40e560c12cpn3.param,40,560,12,3,1.05,TO
tests/n40e560c16cpn4.param,40,560,16,4,1.21,TO
tests/n40e560c10cpn2.param,40,560,10,2,0.99,TO
tests/n40e560c15cpn3.param,40,560,15,3,1.13,TO
tests/n40e560c20cpn4.param,40,560,20,4,1.16,TO
tests/n40e640c8cpn2.param,40,640,8,2,1.0,TO
tests/n40e640c12cpn3.param,40,640,12,3,1.88,TO
tests/n40e640c16cpn4.param,40,640,16,4,1.27,TO
tests/n40e640c10cpn2.param,40,640,10,2,0.94,TO
tests/n40e640c15cpn3.param,40,640,15,3,2.64,TO
tests/n40e640c20cpn4.param,40,640,20,4,1.26,TO
tests/n40e720c8cpn2.param,40,720,8,2,0.98,TO
tests/n40e720c12cpn3.param,40,720,12,3,1.13,TO
tests/n40e720c16cpn4.param,40,720,16,4,1.42,TO
tests/n40e720c10cpn2.param,40,720,10,2,0.94,TO
tests/n40e720c15cpn3.param,40,720,15,3,1.26,TO
tests/n40e720c20cpn4.param,40,720,20,4,1.3,TO
tests/n40e800c8cpn2.param,40,800,8,2,1.13,TO
tests/n40e800c12cpn3.param,40,800,12,3,1.11,TO
tests/n40e800c16cpn4.param,40,800,16,4,1.2,TO
tests/n40e800c10cpn2.param,40,800,10,2,0.95,TO
tests/n40e800c15cpn3.param,40,800,15,3,1.16,TO
tests/n40e800c20cpn4.param,40,800,20,4,1.76,TO
tests/n40e880c8cpn2.param,40,880,8,2,0.93,TO
tests/n40e880c12cpn3.param,40,880,12,3,1.11,TO
tests/n40e880c16cpn4.param,40,880,16,4,1.17,TO
tests/n40e880c10cpn2.param,40,880,10,2,0.9,TO
tests/n40e880c15cpn3.param,40,880,15,3,1.07,TO
tests/n40e880c20cpn4.param,40,880,20,4,1.24,TO
tests/n40e960c8cpn2.param,40,960,8,2,0.95,TO
tests/n40e960c12cpn3.param,40,960,12,3,1.06,TO
tests/n40e960c16cpn4.param,40,960,16,4,1.25,TO
tests/n40e960c10cpn2.param,40,960,10,2,0.89,TO
